avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,3.0,3.0,8.0,1.0,1.0,1.0,16a1da1ce41f125bfab1f61166982e5930170356,1.0,1422796876.0,1.0,no,tasks/RedHat.yml,100.0,4.0,13.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,42.0,3.0,0.0,0.0,tasks/RedHat.yml,dj-wasabi/ansible-zabbix-proxy,4.89,name red hat set fact set fact datafil path usrsharedoczabbixproxi databas type zabbix version creat name red hat instal basic repo file templat path path ownerroot grouproot mode zabbix repo name red hat instal zabbixproxi databas type yum pkgzabbixproxi databas type statepres,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.2
0.0,3.0,3.0,8.0,1.0,1.0,1.0,16a1da1ce41f125bfab1f61166982e5930170356,1.0,1422796876.0,1.0,no,tasks/Debian.yml,100.0,8.0,28.0,0.0,12.0,12.0,12.0,11.0,11.0,11.0,12.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,134.0,3.0,0.0,0.0,tasks/Debian.yml,dj-wasabi/ansible-zabbix-proxy,5.09,name debian set fact set fact datafil path usrsharezabbixproxi databas type name debian instal repositori debian apt repositori repo deb http path zabbix version debian ansibl distribut releas main statepres ansibl distribut debian zabbix repo name debian instal repositori debian apt repositori repo debsrc http path zabbix version debian ansibl distribut releas main statepres ansibl distribut debian zabbix repo name debian instal repositori ubuntu apt repositori repo deb http path zabbix version ubuntu ansibl distribut releas main statepres ansibl distribut ubuntu zabbix repo name debian instal repositori ubuntu apt repositori repo debsrc http path zabbix version ubuntu ansibl distribut releas main statepres ansibl distribut ubuntu zabbix repo name debian instal gpg key apt key idea urlhttp path zabbix repo name debian instal zabbixproxi databas type apt pkgzabbixproxi databas type statepres updat cachey cach valid time,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.09
0.0,22.0,3.0,8.0,0.0,0.0,0.0,16a1da1ce41f125bfab1f61166982e5930170356,0.0,1422796876.0,0.0,no,meta/main.yml,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,3.0,0.0,0.0,meta/main.yml,dj-wasabi/ansible-zabbix-proxy,4.9,galaxi info author werner dijkerman descript instal maintain zabbixproxi red hatdebianubuntu compani path licens licens gplv min ansibl version platform name version name ubuntu version lucid precis trusti name debian version squeez wheezi categori monitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,3.0,8.0,3.0,3.0,3.0,16a1da1ce41f125bfab1f61166982e5930170356,1.0,1422796876.0,1.0,no,tasks/postgresql.yml,100.0,5.0,16.0,1.0,6.0,6.0,6.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,71.0,3.0,0.0,0.0,tasks/postgresql.yml,dj-wasabi/ansible-zabbix-proxy,5.11,name postgr sql creat databas postgresql name proxi dbname statepres manag databas creation name postgr sql creat databas user postgresql user proxi dbname name proxi dbuser password proxi dbpassword prival statepres manag databas creation name postgr sql import schema file shell datafil path psql localhost proxi dbuser proxi dbname path touch path arg creat path manag databas sqlload,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.2
0.0,3.0,2.0,6.0,0.0,0.0,0.0,a2e9c2d08d2e8e211b9af0cb27071172781d9417,0.0,1454611637.0,0.0,yes,tasks/main.yml,0.0,6.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,54.0,3.0,0.0,0.0,tasks/main.yml,dj-wasabi/ansible-zabbix-proxy,4.92,name instal correct repositori includ red path ansibl famili red hat name instal correct repositori includ path ansibl famili debian name instal databas includ databas type long path name creat includ dir zabbixproxi file path proxi includ ownerzabbix groupzabbix statedirectori name configur zabbixproxi templat srczabbix path destetczabbixzabbix path ownerzabbix groupzabbix mode notifi zabbixproxi restart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,2.0,6.0,-1.0,-1.0,-1.0,a2e9c2d08d2e8e211b9af0cb27071172781d9417,1.0,1454611637.0,1.0,no,tasks/mysql.yml,100.0,3.0,15.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,69.0,3.0,0.0,0.0,tasks/mysql.yml,dj-wasabi/ansible-zabbix-proxy,5.15,name sql creat databas mysql name proxi dbname statepres zabbix databas creation name sql creat databas user mysql user name proxi dbuser password proxi dbpassword priv proxi dbname statepres zabbix databas creation name sql import schema file shell datafil path mysql proxi dbuser proxi dbpassword proxi dbname path touch path arg creat path manag databas sqlload ansibl famili red hat,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.07
0.0,2.0,2.0,6.0,0.0,0.0,0.0,a2e9c2d08d2e8e211b9af0cb27071172781d9417,0.0,1454611637.0,0.0,yes,handlers/main.yml,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,handlers/main.yml,dj-wasabi/ansible-zabbix-proxy,2.81,name zabbixproxi restart servic namezabbixproxi staterestart enabledy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,2.0,6.0,0.0,0.0,0.0,a2e9c2d08d2e8e211b9af0cb27071172781d9417,1.0,1454611637.0,1.0,no,tasks/RedHat.yml,100.0,4.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,40.0,3.0,0.0,0.0,tasks/RedHat.yml,dj-wasabi/ansible-zabbix-proxy,4.8,name red hat set fact set fact datafil path usrsharedoczabbixproxi databas type zabbix version creat name red hat instal basic repo file templat path path ownerroot grouproot mode zabbix repo name red hat instal zabbixproxi databas type yum pkgzabbixproxi databas type statepres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-0.09
0.0,4.0,2.0,6.0,6.0,3.0,6.0,a2e9c2d08d2e8e211b9af0cb27071172781d9417,2.0,1454611637.0,1.0,no,tasks/Debian.yml,100.0,9.0,33.0,0.0,11.0,6.0,10.0,5.0,2.0,4.0,3.5,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,137.0,4.0,0.0,0.0,tasks/Debian.yml,dj-wasabi/ansible-zabbix-proxy,5.22,name debian set fact set fact datafil path usrsharezabbixproxi databas type name debian instal repositori debian apt repositori repo deb http path zabbix version debian ansibl distribut releas main statepres ansibl distribut debian zabbix repo name debian instal repositori debian apt repositori repo debsrc http path zabbix version debian ansibl distribut releas main statepres ansibl distribut debian zabbix repo name debian instal repositori ubuntu apt repositori repo deb http path zabbix version ubuntu ansibl distribut releas main statepres ansibl distribut ubuntu zabbix repo name debian instal repositori ubuntu apt repositori repo debsrc http path zabbix version ubuntu ansibl distribut releas main statepres ansibl distribut ubuntu zabbix repo name debian instal gpg key apt key idea urlhttp path zabbix repo name debian instal zabbixproxi databas type apt pkgzabbixproxi databas type statepres updat cachey forcey cach valid time name debian instal ansibl modul depend apt namepythonpsycopg statepres zabbix databas creation,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.13
0.0,22.0,2.0,6.0,0.0,0.0,0.0,a2e9c2d08d2e8e211b9af0cb27071172781d9417,0.0,1454611637.0,0.0,no,meta/main.yml,0.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.0,3.0,0.0,0.0,meta/main.yml,dj-wasabi/ansible-zabbix-proxy,4.9,galaxi info author werner dijkerman descript instal maintain zabbixproxi red hatdebianubuntu compani path licens licens gplv min ansibl version platform name version name ubuntu version lucid precis trusti name debian version squeez wheezi categori monitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,2.0,6.0,11.0,11.0,11.0,a2e9c2d08d2e8e211b9af0cb27071172781d9417,1.0,1454611637.0,1.0,no,tasks/postgresql.yml,100.0,5.0,27.0,1.0,14.0,14.0,14.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,120.0,2.0,0.0,0.0,tasks/postgresql.yml,dj-wasabi/ansible-zabbix-proxy,5.29,name postgr sql creat databas postgresql name proxi dbname statepres sudo user postgr zabbix databas creation name postgr sql creat databas user postgresql user proxi dbname name proxi dbuser password proxi dbpassword prival statepres sudo user postgr zabbix databas creation name postgr sql import schema file shell datafil path psql localhost proxi dbuser proxi dbname path touch path arg creat path environ pgpassword proxi dbpassword zabbix databas creation ansibl distribut debian name postgr sql import schema file shell datafil path psql localhost proxi dbuser proxi dbname path touch path arg creat path environ pgpassword proxi dbpassword zabbix databas creation ansibl distribut ubuntu,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,-1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,49.0,-1.0,0.0,0.0,0.18
