avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,14.0,0.0,1.0,0.0,0.0,0.0,ccdc5c4193f97a0edb80035e4f7bc88204492831,0.0,1457224835.0,0.0,no,meta/main.yml,0.0,0.0,14.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,0.0,meta/main.yml,jdauphant/ansible-role-ssl-certs,4.02,galaxi info author julien dauphant licens bsd min ansibl version platform name gener bsd version name gener linux version categori web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,0.0,1.0,0.0,0.0,0.0,ccdc5c4193f97a0edb80035e4f7bc88204492831,0.0,1457224835.0,0.0,no,tasks/generate.yml,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,72.0,3.0,0.0,0.0,tasks/generate.yml,jdauphant/ansible-role-ssl-certs,4.65,name gener rsa key command openssl genrsa ssl cert privkey path ssl cert key size creat ssl cert privkey path name gener csr command openssl req new subj ssl cert field key ssl cert privkey path ssl cert csr path creat ssl cert csr path name gener selfsign ssl certif command openssl req node day ssl cert day ssl cert csr path key ssl cert privkey path ssl cert cert path extens creat ssl cert cert path ssl cert gener self sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,1.0,1.0,0.0,0.0,0.0,e3c047555096f8c7b436bafe090f59d2df8b8200,0.0,1462141175.0,0.0,no,tasks/main.yml,0.0,10.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,13.0,0.0,0.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,269.0,7.0,0.0,2.0,tasks/main.yml,jdauphant/ansible-role-ssl-certs,5.83,name ensur open ssl instal apt nameopenssl statepres ansibl famili debian tag sslcert packag name ensur ssl folder exist file path ssl cert path state directori owner ssl cert path owner group ssl cert path group mode ssl cert mode tag sslcert configur local action stat path ssl cert local privkey path regist stat privkey becom tag sslcert configur local action stat path ssl cert local cert path regist stat cert becom tag sslcert configur name test privkey file need fail msg privkey file ssl cert local privkey path miss stat path stat path tag sslcert configur name test cert file need fail msg cert file ssl cert local cert path miss stat path stat path tag sslcert configur includ path stat path stat path ssl cert local privkey data undefin ssl cert local cert data undefin tag sslcert configur name copi ssl certif copi src path dest path owner ssl cert path owner group ssl cert path group mode ssl cert mode stat path stat path ssl cert local privkey data undefin ssl cert local cert data undefin item src ssl cert local cert path dest ssl cert cert path src ssl cert local privkey path dest ssl cert privkey path tag sslcert configur name copi ssl certif data copi content path dest path owner ssl cert path owner group ssl cert path group mode ssl cert mode ssl cert local privkey data defin ssl cert local cert data defin item content ssl cert local cert datadefault dest ssl cert cert path content ssl cert local privkey datadefault dest ssl cert privkey path log tag sslcert configur name gener strong dhe paramet http path command openssl dhparam ssl cert dhparam path ssl cert dhparam size creat ssl cert dhparam path ssl cert gener param tag sslcert configur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,1.0,1.0,0.0,0.0,0.0,e3c047555096f8c7b436bafe090f59d2df8b8200,0.0,1462141175.0,0.0,no,meta/main.yml,0.0,0.0,14.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,0.0,meta/main.yml,jdauphant/ansible-role-ssl-certs,4.02,galaxi info author julien dauphant licens bsd min ansibl version platform name gener bsd version name gener linux version categori web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,1.0,1.0,0.0,0.0,0.0,e3c047555096f8c7b436bafe090f59d2df8b8200,1.0,1462141175.0,1.0,no,tasks/generate.yml,100.0,2.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,73.0,3.0,0.0,0.0,tasks/generate.yml,jdauphant/ansible-role-ssl-certs,4.69,name gener rsa key command openssl genrsa ssl cert privkey path ssl cert key size creat ssl cert privkey path name gener csr command openssl req new sha subj ssl cert field key ssl cert privkey path ssl cert csr path creat ssl cert csr path name gener selfsign ssl certif command openssl req node day ssl cert day ssl cert csr path key ssl cert privkey path ssl cert cert path extens creat ssl cert cert path ssl cert gener self sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04
0.0,9.0,0.0,1.0,0.0,0.0,0.0,745149df91ab2f6323a5fcc83327ddd5b1745708,0.0,1467318680.0,0.0,no,tasks/main.yml,0.0,10.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,13.0,0.0,0.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,269.0,7.0,0.0,2.0,tasks/main.yml,jdauphant/ansible-role-ssl-certs,5.83,name ensur open ssl instal apt nameopenssl statepres ansibl famili debian tag sslcert packag name ensur ssl folder exist file path ssl cert path state directori owner ssl cert path owner group ssl cert path group mode ssl cert mode tag sslcert configur local action stat path ssl cert local privkey path regist stat privkey becom tag sslcert configur local action stat path ssl cert local cert path regist stat cert becom tag sslcert configur name test privkey file need fail msg privkey file ssl cert local privkey path miss stat path stat path tag sslcert configur name test cert file need fail msg cert file ssl cert local cert path miss stat path stat path tag sslcert configur includ path stat path stat path ssl cert local privkey data undefin ssl cert local cert data undefin tag sslcert configur name copi ssl certif copi src path dest path owner ssl cert path owner group ssl cert path group mode ssl cert mode stat path stat path ssl cert local privkey data undefin ssl cert local cert data undefin item src ssl cert local cert path dest ssl cert cert path src ssl cert local privkey path dest ssl cert privkey path tag sslcert configur name copi ssl certif data copi content path dest path owner ssl cert path owner group ssl cert path group mode ssl cert mode ssl cert local privkey data defin ssl cert local cert data defin item content ssl cert local cert datadefault dest ssl cert cert path content ssl cert local privkey datadefault dest ssl cert privkey path log tag sslcert configur name gener strong dhe paramet http path command openssl dhparam ssl cert dhparam path ssl cert dhparam size creat ssl cert dhparam path ssl cert gener param tag sslcert configur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,0.0,1.0,0.0,0.0,0.0,745149df91ab2f6323a5fcc83327ddd5b1745708,0.0,1467318680.0,0.0,no,meta/main.yml,0.0,0.0,14.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,0.0,meta/main.yml,jdauphant/ansible-role-ssl-certs,4.02,galaxi info author julien dauphant licens bsd min ansibl version platform name gener bsd version name gener linux version categori web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,0.0,1.0,10.0,10.0,10.0,745149df91ab2f6323a5fcc83327ddd5b1745708,1.0,1467318680.0,1.0,no,tasks/generate.yml,100.0,5.0,14.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,129.0,6.0,0.0,0.0,tasks/generate.yml,jdauphant/ansible-role-ssl-certs,4.97,name gener rsa key command openssl genrsa ssl cert privkey path ssl cert key size creat ssl cert privkey path name rsa key file ownership file path ssl cert privkey path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener csr command openssl req new sha subj ssl cert field key ssl cert privkey path ssl cert csr path creat ssl cert csr path name csr file ownership file path ssl cert csr path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener selfsign ssl certif command openssl req node day ssl cert day ssl cert csr path key ssl cert privkey path ssl cert cert path extens creat ssl cert cert path ssl cert gener self sign name selfsign ssl certif file ownership file path ssl cert cert path owner ssl cert path owner group ssl cert path group mode ssl cert mode ssl cert gener self sign,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,56.0,3.0,0.0,0.0,0.28
0.0,9.0,0.0,1.0,0.0,0.0,0.0,ac4c9dca7f65090b9aab49a5a8108ba2d379128c,0.0,1469689270.0,0.0,no,tasks/main.yml,0.0,10.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,13.0,0.0,0.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,269.0,7.0,0.0,2.0,tasks/main.yml,jdauphant/ansible-role-ssl-certs,5.83,name ensur open ssl instal apt nameopenssl statepres ansibl famili debian tag sslcert packag name ensur ssl folder exist file path ssl cert path state directori owner ssl cert path owner group ssl cert path group mode ssl cert mode tag sslcert configur local action stat path ssl cert local privkey path regist stat privkey becom tag sslcert configur local action stat path ssl cert local cert path regist stat cert becom tag sslcert configur name test privkey file need fail msg privkey file ssl cert local privkey path miss stat path stat path tag sslcert configur name test cert file need fail msg cert file ssl cert local cert path miss stat path stat path tag sslcert configur includ path stat path stat path ssl cert local privkey data undefin ssl cert local cert data undefin tag sslcert configur name copi ssl certif copi src path dest path owner ssl cert path owner group ssl cert path group mode ssl cert mode stat path stat path ssl cert local privkey data undefin ssl cert local cert data undefin item src ssl cert local cert path dest ssl cert cert path src ssl cert local privkey path dest ssl cert privkey path tag sslcert configur name copi ssl certif data copi content path dest path owner ssl cert path owner group ssl cert path group mode ssl cert mode ssl cert local privkey data defin ssl cert local cert data defin item content ssl cert local cert datadefault dest ssl cert cert path content ssl cert local privkey datadefault dest ssl cert privkey path log tag sslcert configur name gener strong dhe paramet http path command openssl dhparam ssl cert dhparam path ssl cert dhparam size creat ssl cert dhparam path ssl cert gener param tag sslcert configur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,0.0,1.0,0.0,0.0,0.0,ac4c9dca7f65090b9aab49a5a8108ba2d379128c,0.0,1469689270.0,0.0,no,meta/main.yml,0.0,0.0,14.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,0.0,meta/main.yml,jdauphant/ansible-role-ssl-certs,4.02,galaxi info author julien dauphant licens bsd min ansibl version platform name gener bsd version name gener linux version categori web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,0.0,1.0,0.0,0.0,0.0,ac4c9dca7f65090b9aab49a5a8108ba2d379128c,0.0,1469689270.0,0.0,no,tasks/generate.yml,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,129.0,6.0,0.0,0.0,tasks/generate.yml,jdauphant/ansible-role-ssl-certs,4.97,name gener rsa key command openssl genrsa ssl cert privkey path ssl cert key size creat ssl cert privkey path name rsa key file ownership file path ssl cert privkey path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener csr command openssl req new sha subj ssl cert field key ssl cert privkey path ssl cert csr path creat ssl cert csr path name csr file ownership file path ssl cert csr path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener selfsign ssl certif command openssl req node day ssl cert day ssl cert csr path key ssl cert privkey path ssl cert cert path extens creat ssl cert cert path ssl cert gener self sign name selfsign ssl certif file ownership file path ssl cert cert path owner ssl cert path owner group ssl cert path group mode ssl cert mode ssl cert gener self sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,1.0,1.0,-1.0,-1.0,-1.0,abef8e047d8fb96d754aacb31f6cbe8cf81bb336,1.0,1485294083.0,1.0,no,tasks/main.yml,100.0,10.0,63.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,10.0,13.0,0.0,0.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,265.0,7.0,0.0,2.0,tasks/main.yml,jdauphant/ansible-role-ssl-certs,5.79,name ensur open ssl instal packag nameopenssl statepres tag sslcert packag name ensur ssl folder exist file path ssl cert path state directori owner ssl cert path owner group ssl cert path group mode ssl cert mode tag sslcert configur local action stat path ssl cert local privkey path regist stat privkey becom tag sslcert configur local action stat path ssl cert local cert path regist stat cert becom tag sslcert configur name test privkey file need fail msg privkey file ssl cert local privkey path miss stat path stat path tag sslcert configur name test cert file need fail msg cert file ssl cert local cert path miss stat path stat path tag sslcert configur includ path stat path stat path ssl cert local privkey data undefin ssl cert local cert data undefin tag sslcert configur name copi ssl certif copi src path dest path owner ssl cert path owner group ssl cert path group mode ssl cert mode stat path stat path ssl cert local privkey data undefin ssl cert local cert data undefin item src ssl cert local cert path dest ssl cert cert path src ssl cert local privkey path dest ssl cert privkey path tag sslcert configur name copi ssl certif data copi content path dest path owner ssl cert path owner group ssl cert path group mode ssl cert mode ssl cert local privkey data defin ssl cert local cert data defin item content ssl cert local cert datadefault dest ssl cert cert path content ssl cert local privkey datadefault dest ssl cert privkey path log tag sslcert configur name gener strong dhe paramet http path command openssl dhparam ssl cert dhparam path ssl cert dhparam size creat ssl cert dhparam path ssl cert gener param tag sslcert configur,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-0.04
0.0,14.0,1.0,1.0,0.0,0.0,0.0,abef8e047d8fb96d754aacb31f6cbe8cf81bb336,0.0,1485294083.0,0.0,no,meta/main.yml,0.0,0.0,14.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,0.0,meta/main.yml,jdauphant/ansible-role-ssl-certs,4.02,galaxi info author julien dauphant licens bsd min ansibl version platform name gener bsd version name gener linux version categori web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,1.0,1.0,0.0,0.0,0.0,abef8e047d8fb96d754aacb31f6cbe8cf81bb336,0.0,1485294083.0,0.0,no,tasks/generate.yml,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,129.0,6.0,0.0,0.0,tasks/generate.yml,jdauphant/ansible-role-ssl-certs,4.97,name gener rsa key command openssl genrsa ssl cert privkey path ssl cert key size creat ssl cert privkey path name rsa key file ownership file path ssl cert privkey path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener csr command openssl req new sha subj ssl cert field key ssl cert privkey path ssl cert csr path creat ssl cert csr path name csr file ownership file path ssl cert csr path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener selfsign ssl certif command openssl req node day ssl cert day ssl cert csr path key ssl cert privkey path ssl cert cert path extens creat ssl cert cert path ssl cert gener self sign name selfsign ssl certif file ownership file path ssl cert cert path owner ssl cert path owner group ssl cert path group mode ssl cert mode ssl cert gener self sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,2.0,2.0,1.0,1.0,1.0,3266d092e74707343e798255a19444bc594345b0,1.0,1486130870.0,1.0,no,tasks/main.yml,100.0,10.0,64.0,0.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,10.0,13.0,0.0,0.0,8.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,265.0,7.0,0.0,2.0,tasks/main.yml,jdauphant/ansible-role-ssl-certs,5.83,name ensur open ssl instal packag nameopenssl statepres tag sslcert packag name ensur ssl folder exist file path ssl cert path state directori owner ssl cert path owner group ssl cert path group mode ssl cert mode tag sslcert configur local action stat path ssl cert local privkey path regist stat privkey becom tag sslcert configur local action stat path ssl cert local cert path regist stat cert becom tag sslcert configur name test privkey file need fail msg privkey file ssl cert local privkey path miss stat path stat path tag sslcert configur name test cert file need fail msg cert file ssl cert local cert path miss stat path stat path tag sslcert configur includ path stat path stat path ssl cert local privkey data ssl cert local cert data tag sslcert configur name copi ssl certif copi src path dest path owner ssl cert path owner group ssl cert path group mode ssl cert mode stat path stat path ssl cert local privkey data ssl cert local cert data item src ssl cert local cert path dest ssl cert cert path src ssl cert local privkey path dest ssl cert privkey path tag sslcert configur name copi ssl certif data copi content path dest path owner ssl cert path owner group ssl cert path group mode ssl cert mode ssl cert local privkey data ssl cert local cert data item content ssl cert local cert datadefault dest ssl cert cert path content ssl cert local privkey datadefault dest ssl cert privkey path log tag sslcert configur name gener strong dhe paramet http path command openssl dhparam ssl cert dhparam path ssl cert dhparam size creat ssl cert dhparam path ssl cert gener param tag sslcert configur,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
0.0,14.0,2.0,2.0,0.0,0.0,0.0,3266d092e74707343e798255a19444bc594345b0,0.0,1486130870.0,0.0,no,meta/main.yml,0.0,0.0,14.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,0.0,0.0,meta/main.yml,jdauphant/ansible-role-ssl-certs,4.02,galaxi info author julien dauphant licens bsd min ansibl version platform name gener bsd version name gener linux version categori web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,2.0,2.0,0.0,0.0,0.0,3266d092e74707343e798255a19444bc594345b0,0.0,1486130870.0,0.0,no,tasks/generate.yml,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,129.0,6.0,0.0,0.0,tasks/generate.yml,jdauphant/ansible-role-ssl-certs,4.97,name gener rsa key command openssl genrsa ssl cert privkey path ssl cert key size creat ssl cert privkey path name rsa key file ownership file path ssl cert privkey path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener csr command openssl req new sha subj ssl cert field key ssl cert privkey path ssl cert csr path creat ssl cert csr path name csr file ownership file path ssl cert csr path owner ssl cert path owner group ssl cert path group mode ssl cert mode name gener selfsign ssl certif command openssl req node day ssl cert day ssl cert csr path key ssl cert privkey path ssl cert cert path extens creat ssl cert cert path ssl cert gener self sign name selfsign ssl certif file ownership file path ssl cert cert path owner ssl cert path owner group ssl cert path group mode ssl cert mode ssl cert gener self sign,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
