avg_play_size,avg_task_size,change_set_avg,change_set_max,code_churn,code_churn_avg,code_churn_max,commit,commits_count,committed_at,contributors,defective,filepath,highest_experience,lines_blank,lines_code,lines_comment,loc_added,loc_added_avg,loc_added_max,loc_removed,loc_removed_avg,loc_removed_max,median_hunks_count,minor_contributors,num_block_error_hanling,num_blocks,num_command_calls,num_conditions,num_decisions,num_deprecated_keywords,num_deprecated_modules,num_distinct_modules,num_external_modules,num_fact_modules,num_filters,num_ignore_errors,num_import_playbook,num_import_role,num_import_tasks,num_include,num_include_role,num_include_tasks,num_include_vars,num_keys,num_lookups,num_loops,num_math_operations,num_names_with_vars,num_plays,num_roles,num_sh_commands,num_suspicious_comments,num_tasks,num_tokens,num_unique_names,num_user_interaction,num_vars,path_when_added,repo,text_entropy,tokens,delta_avg_play_size,delta_avg_task_size,delta_lines_blank,delta_lines_code,delta_lines_comment,delta_num_block_error_hanling,delta_num_blocks,delta_num_command_calls,delta_num_conditions,delta_num_decisions,delta_num_deprecated_keywords,delta_num_deprecated_modules,delta_num_distinct_modules,delta_num_external_modules,delta_num_fact_modules,delta_num_filters,delta_num_ignore_errors,delta_num_import_playbook,delta_num_import_role,delta_num_import_tasks,delta_num_include,delta_num_include_role,delta_num_include_tasks,delta_num_include_vars,delta_num_keys,delta_num_lookups,delta_num_loops,delta_num_math_operations,delta_num_names_with_vars,delta_num_plays,delta_num_roles,delta_num_sh_commands,delta_num_suspicious_comments,delta_num_tasks,delta_num_tokens,delta_num_unique_names,delta_num_user_interaction,delta_num_vars,delta_text_entropy
0.0,2.0,0.0,1.0,0.0,0.0,0.0,36c8b8ac4ba4303d269a69abe29ccbe55c1ce370,0.0,1460840312.0,0.0,no,handlers/main.yml,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,handlers/main.yml,akondas/ansible-role-php7,2.81,name restart phpfpm servic namephpfpm enabledy staterestart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,0.0,1.0,0.0,0.0,0.0,36c8b8ac4ba4303d269a69abe29ccbe55c1ce370,0.0,1460840312.0,0.0,no,tasks/main.yml,0.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,47.0,4.0,0.0,0.0,tasks/main.yml,akondas/ansible-role-php7,4.66,name add ppa repositori sudo ye apt repositori repo php ppa name updat apt sudo ye apt updat cachey name instal php sudo ye apt pkgphp statelatest name instal php packag sudo ye apt pkg item statelatest item php packag php packag defin notifi restart phpfpm includ path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,0.0,1.0,0.0,0.0,0.0,36c8b8ac4ba4303d269a69abe29ccbe55c1ce370,0.0,1460840312.0,0.0,no,tasks/php-fpm.yml,0.0,22.0,113.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,324.0,23.0,0.0,0.0,tasks/php-fpm.yml,akondas/ansible-role-php7,6.0,name set permiss socket owner lineinfil path statepres regexp path path wwwdata name set permiss socket group lineinfil path statepres regexp path path wwwdata name set permiss socket mode lineinfil path statepres regexp path path notifi restart phpfpm name ensur timezon set fpm path lineinfil path path path php timezon name enabl opcach lineinfil path regexp path name opcach chang revalid frequenc lineinfil path path freq path freq tag develop name set path httponli lineinfil path path httponli path httponli notifi restart phpfpm name enabl session strict mode lineinfil path path strict mode path strict mode notifi restart phpfpm name disabl url fopen lineinfil path regexpallow url fopen lineallow url fopen notifi restart phpfpm name chang path cach dir new directori lineinfil path path cach dir path cach dirphpcachewsdl notifi restart phpfpm name chang upload tmp dir path lineinfil path regexpupload tmp dir lineupload tmp dirphpcacheupload tmp notifi restart phpfpm name exclud potenti harmful php function lineinfil path regexpdis function linedis functionsexec passthru shell exec system proc open popen notifi restart phpfpm name set post max size lineinfil path regexppost max size linepost max size php post max size notifi restart phpfpm name set upload max files lineinfil path regexpupload max files lineupload max files php upload max files createy notifi restart phpfpm name set memori limit lineinfil path regexpmemori limit linememori limit php memori limit notifi restart phpfpm name set max execut time lineinfil path regexpmax execut time linemax execut time php max execut time notifi restart phpfpm name enabl opcach lineinfil path path path php opcach enabl insertaft opcach notifi restart phpfpm name opcach chang revalid frequenc lineinfil path path freq path freq php opcach revalid freq insertaft opcach notifi restart phpfpm name opcach chang valid timestamp lineinfil path path timestamp path timestamp php opcach opcach valid timestamp insertaft opcach notifi restart phpfpm name opcach chang max acceler file lineinfil path path acceler file path timestamp php opcach max acceler file insertaft opcach notifi restart phpfpm name opcach memori consumpt lineinfil path path consumpt path consumpt php opcach memori consumpt insertaft opcach notifi restart phpfpm name opcach intern string buffer lineinfil path path string buffer path string buffer php opcach intern string buffer insertaft opcach notifi restart phpfpm name opcach fast shutdown lineinfil path path shutdown path shutdown php opcach fast shutdown insertaft opcach notifi restart phpfpm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1.0,2.0,0.0,0.0,0.0,a7c68cfd28104d8ac7ba1c50757d520603e11aec,0.0,1461696907.0,0.0,no,tasks/configure.yml,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,2.0,tasks/configure.yml,akondas/ansible-role-php7,3.5,stat path regist phpfpm stat path regist phpcli includ path path includ path path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,17.0,1.0,2.0,0.0,0.0,0.0,a7c68cfd28104d8ac7ba1c50757d520603e11aec,0.0,1461696907.0,0.0,no,meta/main.yml,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,2.0,0.0,0.0,meta/main.yml,akondas/ansible-role-php7,4.76,galaxi info author arkadiusz konda descript instal configur php debianubuntu server licens mit min ansibl version platform name ubuntu version name debian version galaxi tag php php web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1.0,2.0,0.0,0.0,0.0,a7c68cfd28104d8ac7ba1c50757d520603e11aec,0.0,1461696907.0,0.0,no,tasks/php-cli.yml,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,2.0,0.0,0.0,tasks/php-cli.yml,akondas/ansible-role-php7,4.32,name ensur timezon set cli path lineinfil path path path php timezon name disabl opcach cli lineinfil path path cli path cli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1.0,2.0,0.0,0.0,0.0,a7c68cfd28104d8ac7ba1c50757d520603e11aec,0.0,1461696907.0,0.0,no,handlers/main.yml,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,handlers/main.yml,akondas/ansible-role-php7,2.81,name restart phpfpm servic namephpfpm enabledy staterestart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,1.0,2.0,11.0,6.0,11.0,a7c68cfd28104d8ac7ba1c50757d520603e11aec,2.0,1461696907.0,1.0,no,tasks/main.yml,100.0,6.0,26.0,0.0,17.0,8.0,16.0,6.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,88.0,6.0,0.0,0.0,tasks/main.yml,akondas/ansible-role-php7,5.17,name add repositori ubuntu becom apt repositori repo php ppa ansibl distributionlow ubuntu name add repositori debian becom apt repositori repo deb http path ansibl distribut releas statepres ansibl distributionlow debian name add apt key debian becom apt key urlhttp path statepres ansibl distributionlow debian name updat apt becom ye apt updat cachey name instal php becom ye apt pkgphp statelatest name instal php packag becom ye apt pkg item statelatest item php packag php packag defin notifi restart phpfpm includ path,0.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,41.0,2.0,0.0,0.0,0.51
0.0,4.0,1.0,2.0,0.0,0.0,0.0,a7c68cfd28104d8ac7ba1c50757d520603e11aec,0.0,1461696907.0,0.0,no,tasks/php-fpm.yml,0.0,22.0,113.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,324.0,23.0,0.0,0.0,tasks/php-fpm.yml,akondas/ansible-role-php7,6.0,name set permiss socket owner lineinfil path statepres regexp path path wwwdata name set permiss socket group lineinfil path statepres regexp path path wwwdata name set permiss socket mode lineinfil path statepres regexp path path notifi restart phpfpm name ensur timezon set fpm path lineinfil path path path php timezon name enabl opcach lineinfil path regexp path name opcach chang revalid frequenc lineinfil path path freq path freq tag develop name set path httponli lineinfil path path httponli path httponli notifi restart phpfpm name enabl session strict mode lineinfil path path strict mode path strict mode notifi restart phpfpm name disabl url fopen lineinfil path regexpallow url fopen lineallow url fopen notifi restart phpfpm name chang path cach dir new directori lineinfil path path cach dir path cach dirphpcachewsdl notifi restart phpfpm name chang upload tmp dir path lineinfil path regexpupload tmp dir lineupload tmp dirphpcacheupload tmp notifi restart phpfpm name exclud potenti harmful php function lineinfil path regexpdis function linedis functionsexec passthru shell exec system proc open popen notifi restart phpfpm name set post max size lineinfil path regexppost max size linepost max size php post max size notifi restart phpfpm name set upload max files lineinfil path regexpupload max files lineupload max files php upload max files createy notifi restart phpfpm name set memori limit lineinfil path regexpmemori limit linememori limit php memori limit notifi restart phpfpm name set max execut time lineinfil path regexpmax execut time linemax execut time php max execut time notifi restart phpfpm name enabl opcach lineinfil path path path php opcach enabl insertaft opcach notifi restart phpfpm name opcach chang revalid frequenc lineinfil path path freq path freq php opcach revalid freq insertaft opcach notifi restart phpfpm name opcach chang valid timestamp lineinfil path path timestamp path timestamp php opcach opcach valid timestamp insertaft opcach notifi restart phpfpm name opcach chang max acceler file lineinfil path path acceler file path timestamp php opcach max acceler file insertaft opcach notifi restart phpfpm name opcach memori consumpt lineinfil path path consumpt path consumpt php opcach memori consumpt insertaft opcach notifi restart phpfpm name opcach intern string buffer lineinfil path path string buffer path string buffer php opcach intern string buffer insertaft opcach notifi restart phpfpm name opcach fast shutdown lineinfil path path shutdown path shutdown php opcach fast shutdown insertaft opcach notifi restart phpfpm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1.0,2.0,0.0,0.0,0.0,64f12e4fdedc8e259d179f737f056534f2d73918,0.0,1479673111.0,0.0,no,tasks/configure.yml,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,2.0,tasks/configure.yml,akondas/ansible-role-php7,3.5,stat path regist phpfpm stat path regist phpcli includ path path includ path path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,17.0,1.0,2.0,0.0,0.0,0.0,64f12e4fdedc8e259d179f737f056534f2d73918,0.0,1479673111.0,0.0,no,meta/main.yml,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,2.0,0.0,0.0,meta/main.yml,akondas/ansible-role-php7,4.76,galaxi info author arkadiusz konda descript instal configur php debianubuntu server licens mit min ansibl version platform name ubuntu version name debian version galaxi tag php php web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1.0,2.0,0.0,0.0,0.0,64f12e4fdedc8e259d179f737f056534f2d73918,0.0,1479673111.0,0.0,no,tasks/php-cli.yml,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,2.0,0.0,0.0,tasks/php-cli.yml,akondas/ansible-role-php7,4.32,name ensur timezon set cli path lineinfil path path path php timezon name disabl opcach cli lineinfil path path cli path cli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1.0,2.0,1.0,1.0,1.0,64f12e4fdedc8e259d179f737f056534f2d73918,1.0,1479673111.0,1.0,no,handlers/main.yml,100.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,handlers/main.yml,akondas/ansible-role-php7,3.17,name restart phpfpm servic namephpfpm enabledy staterestart becom ye,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.36
0.0,4.0,1.0,2.0,-4.0,-4.0,-4.0,64f12e4fdedc8e259d179f737f056534f2d73918,1.0,1479673111.0,1.0,no,tasks/main.yml,100.0,5.0,23.0,0.0,1.0,1.0,1.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,80.0,5.0,0.0,0.0,tasks/main.yml,akondas/ansible-role-php7,5.17,name add repositori ubuntu becom apt repositori repo php ppa ansibl distributionlow ubuntu name add repositori debian becom apt repositori repo deb http path ansibl distribut releas statepres ansibl distributionlow debian name add apt key debian becom apt key urlhttp path statepres ansibl distributionlow debian name updat apt becom ye apt updat cachey name instal php packag becom ye apt pkg item statelatest item php packag php packag defin notifi restart phpfpm includ path,0.0,0.0,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-8.0,-1.0,0.0,0.0,0.0
0.0,4.0,1.0,2.0,0.0,0.0,0.0,64f12e4fdedc8e259d179f737f056534f2d73918,0.0,1479673111.0,0.0,no,tasks/php-fpm.yml,0.0,22.0,113.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,324.0,23.0,0.0,0.0,tasks/php-fpm.yml,akondas/ansible-role-php7,6.0,name set permiss socket owner lineinfil path statepres regexp path path wwwdata name set permiss socket group lineinfil path statepres regexp path path wwwdata name set permiss socket mode lineinfil path statepres regexp path path notifi restart phpfpm name ensur timezon set fpm path lineinfil path path path php timezon name enabl opcach lineinfil path regexp path name opcach chang revalid frequenc lineinfil path path freq path freq tag develop name set path httponli lineinfil path path httponli path httponli notifi restart phpfpm name enabl session strict mode lineinfil path path strict mode path strict mode notifi restart phpfpm name disabl url fopen lineinfil path regexpallow url fopen lineallow url fopen notifi restart phpfpm name chang path cach dir new directori lineinfil path path cach dir path cach dirphpcachewsdl notifi restart phpfpm name chang upload tmp dir path lineinfil path regexpupload tmp dir lineupload tmp dirphpcacheupload tmp notifi restart phpfpm name exclud potenti harmful php function lineinfil path regexpdis function linedis functionsexec passthru shell exec system proc open popen notifi restart phpfpm name set post max size lineinfil path regexppost max size linepost max size php post max size notifi restart phpfpm name set upload max files lineinfil path regexpupload max files lineupload max files php upload max files createy notifi restart phpfpm name set memori limit lineinfil path regexpmemori limit linememori limit php memori limit notifi restart phpfpm name set max execut time lineinfil path regexpmax execut time linemax execut time php max execut time notifi restart phpfpm name enabl opcach lineinfil path path path php opcach enabl insertaft opcach notifi restart phpfpm name opcach chang revalid frequenc lineinfil path path freq path freq php opcach revalid freq insertaft opcach notifi restart phpfpm name opcach chang valid timestamp lineinfil path path timestamp path timestamp php opcach opcach valid timestamp insertaft opcach notifi restart phpfpm name opcach chang max acceler file lineinfil path path acceler file path timestamp php opcach max acceler file insertaft opcach notifi restart phpfpm name opcach memori consumpt lineinfil path path consumpt path consumpt php opcach memori consumpt insertaft opcach notifi restart phpfpm name opcach intern string buffer lineinfil path path string buffer path string buffer php opcach intern string buffer insertaft opcach notifi restart phpfpm name opcach fast shutdown lineinfil path path shutdown path shutdown php opcach fast shutdown insertaft opcach notifi restart phpfpm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,2.0,3.0,0.0,0.0,0.0,a357cfdff750111568c5c5b37e194774c51a9609,0.0,1486414808.0,0.0,no,tasks/configure.yml,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,2.0,tasks/configure.yml,akondas/ansible-role-php7,3.5,stat path regist phpfpm stat path regist phpcli includ path path includ path path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,17.0,2.0,3.0,0.0,0.0,0.0,a357cfdff750111568c5c5b37e194774c51a9609,0.0,1486414808.0,0.0,no,meta/main.yml,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,2.0,0.0,0.0,meta/main.yml,akondas/ansible-role-php7,4.76,galaxi info author arkadiusz konda descript instal configur php debianubuntu server licens mit min ansibl version platform name ubuntu version name debian version galaxi tag php php web depend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,2.0,3.0,0.0,0.0,0.0,a357cfdff750111568c5c5b37e194774c51a9609,0.0,1486414808.0,0.0,no,tasks/php-cli.yml,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,2.0,0.0,0.0,tasks/php-cli.yml,akondas/ansible-role-php7,4.32,name ensur timezon set cli path lineinfil path path path php timezon name disabl opcach cli lineinfil path path cli path cli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,2.0,3.0,0.0,0.0,0.0,a357cfdff750111568c5c5b37e194774c51a9609,0.0,1486414808.0,0.0,no,handlers/main.yml,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,handlers/main.yml,akondas/ansible-role-php7,3.17,name restart phpfpm servic namephpfpm enabledy staterestart becom ye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,2.0,3.0,0.0,0.0,0.0,a357cfdff750111568c5c5b37e194774c51a9609,0.0,1486414808.0,0.0,no,tasks/main.yml,0.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,80.0,5.0,0.0,0.0,tasks/main.yml,akondas/ansible-role-php7,5.17,name add repositori ubuntu becom apt repositori repo php ppa ansibl distributionlow ubuntu name add repositori debian becom apt repositori repo deb http path ansibl distribut releas statepres ansibl distributionlow debian name add apt key debian becom apt key urlhttp path statepres ansibl distributionlow debian name updat apt becom ye apt updat cachey name instal php packag becom ye apt pkg item statelatest item php packag php packag defin notifi restart phpfpm includ path,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
